,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,
PRAGMA,Academia Sinica Grid Computing Center-Taiwan,,,,,,,,,,,TRUE,Unkown,Academic,Taiwan,c
PRAGMA,Advanced Science and Technology Institute-Phillipines,,,,,,,,,,,TRUE,Unkown,Academic,Phillipines,c
PRAGMA,BestGrid New Zealand,,,,,,,,,,,TRUE,Unkown,Network,New Zeland,c
PRAGMA,Hanoi University of Technology,,,,,,,,,,,TRUE,Unkown,Academic,Vietnam,c
PRAGMA,Ho Chi Minh City University of Technology,,,,,,,,,,,TRUE,Unkown,Academic,Vietnam,c
PRAGMA,Institue for Information Technology-Vietnam,,,,,,,,,,,TRUE,Unkown,Academic,Vietnam,c
PRAGMA,"Star Tap, Translight",,,,,,,,,,,TRUE,Unkown,Network,US,c
PRAGMA,Asia Pacific Advanced Network-Japan,,,,,,,,,,,TRUE,Unkown,Network,Japan,d
PRAGMA,Centro de Invertigacion Cientifica y de Educacion Superior de Ensenada (CICESE),,,,,,,,,,,TRUE,Unkown,Government,Mexico,d
PRAGMA,"Global Scientific Information and Computing Center, Tokyo Institute of Technology",,,,,,,,,,,TRUE,Unkown,Academic,Japan,d
PRAGMA,Institute for High Performance Computing-Singapore,,,,,,,,,,,TRUE,Unkown,Academic,Singapore,d
PRAGMA,Pacific Northwest Gigapop,,,,,,,,,,,TRUE,Unkown,Network,US,d
PRAGMA,Bioinformatics Institute Singapore (BII,,,,,,,,,,,TRUE,Unkown,Academic,Singapore,E
PRAGMA,National Agricultural Research Center-Japan,,,,,,,,,,,TRUE,Unkown,Academic,Japan,E
PRAGMA,National Center for Supercomputing Applications-Illinois,,,,,,,,,,,TRUE,Unkown,Academic,US,E
PRAGMA,National Grid Office-Singapore,,,,,,,,,,,TRUE,Unkown,Government,Singapore,E
PRAGMA,"Computational Science and Engineering Online, University of Utah",,,,,,,,,,,TRUE,Unkown,Academic,US,E
PRAGMA,CRAY,,,,,,,,,,,TRUE,Unkown,Industry,US,E
PRAGMA,Korea Basic Science Institute,,,,,,,,,,,TRUE,Unkown,Academic,Korea,E
PRAGMA,Thai National Grid Center-Thailand,,,,,,,,,,,TRUE,Unkown,Academic,Thailand,E
PRAGMA,Indiana University,,,,,,,,,,,TRUE,Unkown,Academic,US,b
PRAGMA,University of Florida,,,,,,,,,,,TRUE,Unkown,Academic,US,b
PRAGMA,University of Wisconsin,,,,,,,,,,,TRUE,Unkown,Academic,US,b
PRAGMA,Lan Zhou University,,,,,,,,,,,TRUE,Unkown,Academic,China,b
PRAGMA,NICT,,,,,,,,,,,TRUE,Unkown,Academic,Japan,b
PRAGMA,Kookmin University,,,,,,,,,,,TRUE,Unkown,Academic,Korea,c
PRAGMA,CeNAT-ITCR,,,,,,,,,,,TRUE,Unkown,Academic,CR,c
PRAGMA,U Chile,,,,,,,,,,,TRUE,Unkown,Academic,Chile,c
PRAGMA,U Zurich,,,,,,,,,,,TRUE,Unkown,Academic,Switzerland,c
PRAGMA,National Applied Research Laboratories,,,,,,,,,,,TRUE,Unkown,Academic,Taiwan,d
PRAGMA,UCSD: Center for Research in Biological Systems,,,,,,,,,,,TRUE,Unkown,Academic,US,a
PRAGMA,UCSD: National Biomedical Computation Resource,,,,,,,,,,,TRUE,Unkown,Academic,US,a
PRAGMA,UCSD: National Center for Microscopy and Imaging Research,,,,,,,,,,,TRUE,Unkown,Academic,US,a
PRAGMA,UCSD: San Diego Supercomputing Center,,,,,,,,,,,TRUE,Unkown,Academic,US,a
PRAGMA,UCSD: Calit2,,,,,,,,,,,TRUE,Unkown,Academic,US,a
Global Lambda Integrated Facility,AAARNet-Australia,,,,,,,,,,52,TRUE,Unkown,Network,Australia,
Global Lambda Integrated Facility,GLORIAD,,,,,,,,,,53,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,Pacific Northwest Gigapop,,,,,,,,,,54,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,AMPATH,,,,,,,,,,55,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,HEAnet-Ireland,,,,,,,,,,56,TRUE,Unkown,Network,Ireland,
Global Lambda Integrated Facility,Poznan Superocmputing and Networking Center,,,,,,,,,,57,TRUE,Unkown,Academic,Poland,
Global Lambda Integrated Facility,ANSP-Brazil,,,,,,,,,,58,TRUE,Unkown,Academic,Brazil,
Global Lambda Integrated Facility,I2cat-Spain,,,,,,,,,,59,TRUE,Unkown,Academic,Spain,
Global Lambda Integrated Facility,RIPN-Russia,,,,,,,,,,60,TRUE,Unkown,Academic,Russia,
Global Lambda Integrated Facility,MCS-Argonnne National Laboratory,,,,,,,,,,61,TRUE,Unkown,Government,US,
Global Lambda Integrated Facility,iCAIR,,,,,,,,,,62,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,RNP-Brazil,,,,,,,,,,63,TRUE,Unkown,Network,Brazil,
Global Lambda Integrated Facility,International Educational Equal Access Foundation,,,,,,,,,,64,TRUE,Unkown,Not for Profit,,
Global Lambda Integrated Facility,SARA-Norway,,,,,,,,,,65,TRUE,Unkown,Network,Norway,
Global Lambda Integrated Facility,CANARIE-Canada,,,,,,,,,,66,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,Indiana University,,,,,,,,,,67,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,StarLight,,,,,,,,,,68,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,CENIC,,,,,,,,,,69,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,Internet 2,,,,,,,,,,70,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,SURA,,,,,,,,,,71,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,CERN,,,,,,,,,,72,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,JGN-II-Japan,,,,,,,,,,73,TRUE,Unkown,Network,Japan,
Global Lambda Integrated Facility,SurfNet-Netherlands,,,,,,,,,,74,TRUE,Unkown,Network,Netherlands,
Global Lambda Integrated Facility,CERNET-China,,,,,,,,,,75,TRUE,Unkown,Network,China,
Global Lambda Integrated Facility,Janet-UK,,,,,,,,,,76,TRUE,Unkown,Network,UK,
Global Lambda Integrated Facility,TeraGrid-NSF,,,,,,,,,,77,TRUE,Unkown,Government,US,
Global Lambda Integrated Facility,CESNET-Czechoslovakia,,,,,,,,,,78,TRUE,Unkown,Network,Czech,
Global Lambda Integrated Facility,"Juniper Networks, Inc",,,,,,,,,,79,TRUE,Unkown,Industry,US,
Global Lambda Integrated Facility,TERENA-Europe,,,,,,,,,,80,TRUE,Unkown,Network,EU,
Global Lambda Integrated Facility,CIENA,,,,,,,,,,81,TRUE,Unkown,Industry,US,
Global Lambda Integrated Facility,King Abdullah University of Science and Technology,,,,,,,,,,82,TRUE,Unkown,Academic,SA,
Global Lambda Integrated Facility,TransLight-NSF,,,,,,,,,,83,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,CISCO,,,,,,,,,,84,TRUE,Unkown,Industry,US,
Global Lambda Integrated Facility,KRLight-Korea,,,,,,,,,,85,TRUE,Unkown,Network,Korea,
Global Lambda Integrated Facility,TWAREN-Taiwan,,,,,,,,,,86,TRUE,Unkown,Network,Taiwan,
Global Lambda Integrated Facility,CPqD-Brazil,,,,,,,,,,87,TRUE,Unkown,Academic,Brazil,
Global Lambda Integrated Facility,MIT,,,,,,,,,,88,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,University of Amsterdam,,,,,,,,,,89,TRUE,Unkown,Academic,Netherlands,
Global Lambda Integrated Facility,CSTNET-China,,,,,,,,,,90,TRUE,Unkown,Network,China,
Global Lambda Integrated Facility,MCNC-North Carolina,,,,,,,,,,91,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,EVL-UIUC,,,,,,,,,,92,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,DFN-Germany,,,,,,,,,,93,TRUE,Unkown,Academic,Germany,
Global Lambda Integrated Facility,MAX-Mid Atlantic,,,,,,,,,,94,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,University College London,,,,,,,,,,95,TRUE,Unkown,Academic,UK,
Global Lambda Integrated Facility,E-ARENA-Russia,,,,,,,,,,96,TRUE,Unkown,Network,Russia,
Global Lambda Integrated Facility,NLR,,,,,,,,,,97,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,University of Maryland,,,,,,,,,,98,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,ESNET,,,,,,,,,,99,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,Naval Postgraduate School,,,,,,,,,,100,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,University of Washington,,,,,,,,,,101,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,Extreme Networks,,,,,,,,,,102,TRUE,Unkown,Industry,US,
Global Lambda Integrated Facility,NorthWestern,,,,,,,,,,103,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,UltraLight-US/CERN,,,,,,,,,,104,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,FAST-California Institute of Technology,,,,,,,,,,105,TRUE,Unkown,Academic,US,
Global Lambda Integrated Facility,NSF-CISE,,,,,,,,,,106,TRUE,Unkown,Government,US,
Global Lambda Integrated Facility,USLHCNet,,,,,,,,,,107,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,Fermilab,,,,,,,,,,108,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,NetherLight,,,,,,,,,,109,TRUE,Unkown,Network,Netherlands,
Global Lambda Integrated Facility,WIDE-Japan,,,,,,,,,,110,TRUE,Unkown,Network,Japan,
Global Lambda Integrated Facility,Global Netwave,,,,,,,,,,111,TRUE,Unkown,Network,US,
Global Lambda Integrated Facility,NORDUnet,,,,,,,,,,112,TRUE,Unkown,Network,Netherlands,
Pacific Northwest Gigapop,CENIC,,,,,,,,,,113,TRUE,Unkown,Network,US,
Pacific Northwest Gigapop,CANARIE-Canada,,,,,,,,,,114,TRUE,Unkown,Network,Canada,
Pacific Northwest Gigapop,StarLight,,,,,,,,,,115,TRUE,Unkown,Network,US,
Pacific Northwest Gigapop,Internet 2,,,,,,,,,,116,TRUE,Unkown,Organization,US,
Pacific Northwest Gigapop,Indiana University,,,,,,,,,,117,TRUE,Unkown,Academic,US,
Pacific Northwest Gigapop,SURA,,,,,,,,,,118,TRUE,Unkown,Network,US,
Pacific Northwest Gigapop,NLR,,,,,,,,,,119,TRUE,Unkown,Network,US,
MCS-Argonnne National Laboratory,Indiana University,,,,,,,,,,120,TRUE,Unkown,Academic,US,
MCS-Argonnne National Laboratory,StarLight,,,,,,,,,,121,TRUE,Unkown,Academic,US,
MCS-Argonnne National Laboratory,Internet 2,,,,,,,,,,122,TRUE,Unkown,Academic,US,
MCS-Argonnne National Laboratory,NLR,,,,,,,,,,123,TRUE,Unkown,Academic,US,
MCS-Argonnne National Laboratory,TeraGrid-NSF,,,,,,,,,,124,TRUE,Unkown,Government,US,
Pacific Northwest Gigapop,TransLight-NSF,,,,,,,,,,125,TRUE,Unkown,Government,US,
MCS-Argonnne National Laboratory,NorthWestern,,,,,,,,,,126,TRUE,Unkown,Academic,US,
MCS-Argonnne National Laboratory,NSF-CISE,,,,,,,,,,127,TRUE,Unkown,Government,US,
MCS-Argonnne National Laboratory,NorthWestern,,,,,,,,,,128,TRUE,Unkown,Government,US,
MCS-Argonnne National Laboratory,Fermilab,,,,,,,,,,129,TRUE,Unkown,Academic,US,
CANARIE-Canada,StarLight,,,,,,,,,,130,TRUE,Unkown,Network,US,
CANARIE-Canada,CENIC,,,,,,,,,,131,TRUE,Unkown,Network,US,
CANARIE-Canada,Internet 2,,,,,,,,,,132,TRUE,Unkown,Network,US,
CANARIE-Canada,CISCO,,,,,,,,,,133,TRUE,Unkown,Academic,US,
CANARIE-Canada,EVL-UIUC,,,,,,,,,,134,TRUE,Unkown,Academic,US,
MCS-Argonnne National Laboratory,EVL-UIUC,,,,,,,,,,135,TRUE,Unkown,Academic,US,
CANARIE-Canada,CENIC,,,,,,,,,,136,TRUE,Unkown,Network,Canada,
StarLight,SARA-Norway,,,,,,,,,,137,TRUE,Unkown,Network,Netherlands,
StarLight,AAARNet-Australia,,,,,,,,,,138,TRUE,Unkown,Network,Australia,
StarLight,GLORIAD,,,,,,,,,,139,TRUE,Unkown,Network,US,
StarLight,SurfNet-Netherlands,,,,,,,,,,140,TRUE,Unkown,Network,Netherlands,
StarLight,CERNET-China,,,,,,,,,,141,TRUE,Unkown,Network,China,
StarLight,Janet-UK,,,,,,,,,,142,TRUE,Unkown,Network,UK,
StarLight,TeraGrid-NSF,,,,,,,,,,143,TRUE,Unkown,Network,US,
StarLight,CESNET-Czechoslovakia,,,,,,,,,,144,TRUE,Unkown,Network,Czech,
StarLight,"Juniper Networks, Inc",,,,,,,,,,145,TRUE,Unkown,Network,US,
StarLight,TERENA-Europe,,,,,,,,,,146,TRUE,Unkown,Network,EU,
StarLight,CIENA,,,,,,,,,,147,TRUE,Unkown,Network,US,
StarLight,TransLight-NSF,,,,,,,,,,148,TRUE,Unkown,Network,US,
StarLight,CISCO,,,,,,,,,,149,TRUE,Unkown,Network,US,
StarLight,KRLight-Korea,,,,,,,,,,150,TRUE,Unkown,Network,Korea,
StarLight,FAST-California Institute of Technology,,,,,,,,,,151,TRUE,Unkown,Network,US,
StarLight,NSF-CISE,,,,,,,,,,152,TRUE,Unkown,Network,US,
StarLight,USLHCNet,,,,,,,,,,153,TRUE,Unkown,Network,US,
StarLight,NetherLight,,,,,,,,,,154,TRUE,Unkown,Network,Netherlands,
StarLight,WIDE-Japan,,,,,,,,,,155,TRUE,Unkown,Network,Japan,
StarLight,Global Netwave,,,,,,,,,,156,TRUE,Unkown,Network,US,
StarLight,NORDUnet,,,,,,,,,,157,TRUE,Unkown,Network,Netherlands,
Indiana University,NorthWestern,,,,,,,,,,158,TRUE,Unkown,Academic,US,
Indiana University,University of Maryland,,,,,,,,,,159,TRUE,Unkown,Academic,US,
Indiana University,NLR,,,,,,,,,,160,TRUE,Unkown,Academic,US,
Indiana University,NorthWestern,,,,,,,,,,161,TRUE,Unkown,Academic,US,
Indiana University,TeraGrid-NSF,,,,,,,,,,162,TRUE,Unkown,Academic,US,
Indiana University,NSF-CISE,,,,,,,,,,163,TRUE,Unkown,Academic,US,
Indiana University,University of Washington,,,,,,,,,,164,TRUE,Unkown,Academic,US,
Calit2 UCSD,University of Maryland,,,,,,,,,,165,TRUE,Unkown,Academic,US,
Calit2 UCSD,NLR,,,,,,,,,,166,TRUE,Unkown,Academic,US,
Calit2 UCSD,NorthWestern,,,,,,,,,,167,TRUE,Unkown,Academic,US,
Calit2 UCSD,TeraGrid-NSF,,,,,,,,,,168,TRUE,Unkown,Academic,US,
Calit2 UCSD,NSF-CISE,,,,,,,,,,169,TRUE,Unkown,Academic,US,
Calit2 UCSD,University of Washington,,,,,,,,,,170,TRUE,Unkown,Academic,US,
Calit2 UCSD,Cisco,,,,,,,,,,171,TRUE,Unkown,Industry,US,
Calit2 UCSD,"Juniper Networks, Inc",,,,,,,,,,172,TRUE,Unkown,Industry,US,
Calit2 UCSD,Cinegrid,,,,,,,,,,173,TRUE,Unknown,Organization,US,
Cinegrid,Academy of Motion Picture Arts and Science,,,,,,,,,,,,Unknown,Not for Profit,US,b
Cinegrid,California Academy of Sciences,,,,,,,,,,,,Unknown,Not for Profit,US,c
Cinegrid,Calit2,,,,,,,,,,,,Unknown,Academic,US,a
Cinegrid,Cisco ,,,,,,,,,,,,Unknown,Industry,US,b
Cinegrid,CPqD-Brazil,,,,,,,,,,,,Unknown,Industry,Brazil,b
Cinegrid,Cyberport,,,,,,,,,,,,Unknown,Industry,US,c
Cinegrid,Dark Strand,,,,,,,,,,,,Unknown,Industry,US,d
Cinegrid,Digital Domain,,,,,,,,,,,,Unknown,Industry,US,d
Cinegrid,EVL-UIUC,,,,,,,,,,,,Unknown,Academic,US,a
Cinegrid,I2cat-Spain,,,,,,,,,,,,Unknown,Industry,Spain,d
Cinegrid,INGI-San Francisco State University,,,,,,,,,,,,Unknown,Academic,US,d
Cinegrid,IntoPIX,,,,,,,,,,,,Unknown,Industry,Japan,b
Cinegrid,JVC America,,,,,,,,,,,,Unknown,Industry,US,b
Cinegrid,KAIST,,,,,,,,,,,,Unknown,Academic,Korea,d
Cinegrid,Keio University DMC,,,,,,,,,,,,Unknown,Academic,Japan,a
Cinegrid,King Abdullah University of Science and Technology,,,,,,,,,,,,Unknown,Academic,SA,c
Cinegrid,KTH Royal Insitute of Techology,,,,,,,,,,,,Unknown,Academic,Sweden,d
Cinegrid,Louisiana State University ,,,,,,,,,,,,Unknown,Academic,US,c
Cinegrid,Lucasfilm,,,,,,,,,,,,Unknown,Industry,US,b
Calit2 UCSD,Lucasfilm,,,,,,,,,,,,Unknown,Industry,US,b
Cinegrid,MacKenzie,,,,,,,,,,,,Unknown,Industry,US,c
Cinegrid,Mechdyne Corporation,,,,,,,,,,,,Unknown,Industry,US,c
Cinegrid,Meyer Sound Lab,,,,,,,,,,,,Unknown,Industry,US,c
Calit2 UCSD,Meyer Sound Lab,,,,,,,,,,,,Unknown,Industry,US,c
Cinegrid,Naval Postgraduate School,,,,,,,,,,,,Unknown,Academic,US,b
Calit2 UCSD,Naval Postgraduate School,,,,,,,,,,,,Unknown,Academic,US,b
Cinegrid,NCSA-Illinois,,,,,,,,,,,,Unknown,Academic,US,b
Calit2 UCSD,NCSA-Illinois,,,,,,,,,,,,Unknown,Academic,US,b
Cinegrid,NetApp,,,,,,,,,,,,Unknown,Industry,US,d
Cinegrid,NorthWestern,,,,,,,,,,,,Unknown,Academic,US,a
Cinegrid,NTT,,,,,,,,,,,,Unknown,Industry,Japan,a
Cinegrid,Pacific Interface Inc,,,,,,,,,,,,Unknown,Industry,US,a
Cinegrid,Poznan Superocmputing and Networking Center,,,,,,,,,,,,Unknown,Academic,Poland,d
Cinegrid,Renaissance Center North Carolina,,,,,,,,,,,,Unknown,Academic,US,d
Cinegrid,Rogers Communications Center-Ryerson University,,,,,,,,,,,,Unknown,Academic,Canada,d
Cinegrid,SARA-Norway,,,,,,,,,,,,Unknown,Network,Netherlands,d
Cinegrid,Sharp-Japan,,,,,,,,,,,,Unknown,Industry,Japan,b
Cinegrid,Sharp-USA,,,,,,,,,,,,Unknown,Industry,US,b
Cinegrid,Sony,,,,,,,,,,,,Unknown,Industry,Japan,a
Cinegrid,Tohoku University,,,,,,,,,,,,Unknown,Academic,Japan,d
Cinegrid,Tulane University,,,,,,,,,,,,Unknown,Academic,US,d
Cinegrid,University of Amsterdam,,,,,,,,,,,,Unknown,Academic,Netherlands,a
Cinegrid,University of Manitoba ,,,,,,,,,,,,Unknown,Academic,Canada,d
Cinegrid,University of Southern California,,,,,,,,,,,,Unknown,Academic,US,c
Calit2 UCSD,University of Southern California,,,,,,,,,,,,Unknown,Academic,US,c
Cinegrid,University of Washington,,,,,,,,,,,,Unknown,Academic,US,c
Cinegrid,WAAG Society,,,,,,,,,,,,Unknown,Not for Profit,Netherlands,d
Cinegrid,Walt Disney Studios,,,,,,,,,,,,Unknown,Industry,US,b
Calit2 UCSD,Walt Disney Studios,,,,,,,,,,,,Unknown,Industry,US,b
Academy of Motion Picture Arts and Sciences,Pacific Interface Inc,,,,,,,,,,,,Unknown,Industry,US,a
Academy of Motion Picture Arts and Sciences,California Academy of Sciences,,,,,,,,,,,,Unknown,Not for Profit,US,c
California Academy of Sciences,Pacific Interface Inc,,,,,,,,,,,,Unknown,Industry,US,a
NTT,Cinepost-Prague,,,,,,,,,,,,Unknown,Industry,Czech,
Digital Domain,Walt Disney Studios,,,,,,,,,,,,Unknown,Industry,US,
NTT,EVL-UIUC,,,,,,,,,,,,Unknown,Academic,US,a
EVL-UIUC,Mechdyne Corporation,,,,,,,,,,,,Unknown,Industry,US,
NTT,Naval Postgraduate School,,,,,,,,,,,,Unknown,Academic,US,b
NTT,Tohoku University,,,,,,,,,,,TRUE,Unknown,Academic,Japan,
NTT ,Pacific Interface Inc,,,,,,,,,,,TRUE,Unknown,Industry,US,
Sharp-Japan,EVL-UIUC,,,,,,,,,,,TRUE,Unknown,Academic,US,a
Sharp-USA,EVL-UIUC,,,,,,,,,,,TRUE,Unknown,Academic,US,a
NTT,University of Amsterdam,,,,,,,,,,,TRUE,Unknown,Academic,Netherlands,a
University of Amsterdam,WAAG Society,,,,,,,,,,,TRUE,Unknown,Not for Profit,Netherlands,c
NTT,USC,,,,,,,,,,,TRUE,Unknown,Academic,US,c
Calit2 UCSD,King Abdullah University of Science and Technology,,,,,,,,,,,TRUE,Unknown,Academic,SA,c
Calit2 UCSD,Cisco,,,,,,,,,,,TRUE,Unknown,Industry,US,b
Calit2 UCSD,Korea Electronics Technology Institute,,,,,,,,,,231,TRUE,"$1,000,000",Government,Korea,a
